,1 and 40 - frame 0,1 and 40 - frame 1,1 and 40 - frame 2,1 and 40 - frame 3,1 and 40 - frame 4
molecule 25,0.006123309267513136,0.007214434287201439,0.009138350271329445,0.01130288422134705,0.012926200380891971
molecule 26,-0.003341923267614203,-0.0023709044108969997,-0.003910819231747463,-0.00534310440622722,-0.00472066551123379
molecule 27,-0.009633970475019439,-0.012835292294712246,-0.01571721673532036,-0.018175834873656715,-0.020100208006826322
molecule 28,0.03529925800006706,0.03808430812892025,0.0804299526509537,0.11939841528585822,0.11923600340039257
molecule 29,-0.012360409725351826,-0.01311515716048283,-0.014017400800341986,-0.014399319306809637,-0.014180630545787793
molecule 30,-2.1384828042202098,-1.8190659139804584,-1.6991783255363107,-1.5876048113957961,-1.4225174282184119
molecule 31,0.11453833587058668,0.017123934045658266,-0.06325343064925577,-0.14141875597424888,-0.19998356653803023
molecule 32,1.5309302423789466,1.5919576208068955,1.6269691069241097,1.6425411211760954,1.6423238555559705
molecule 33,6.680709073660695,7.843268223783001,8.637117593028215,8.84186545595065,9.268001446551338
molecule 34,-1.22970084151678,-1.1765607699301415,-1.1454960450410663,-1.1531226764593623,-1.1762771670311485
molecule 35,-0.27991112818760583,-0.28078743505747655,-0.2913895024255114,-0.28369544109503275,-0.2659036302426103
molecule 36,-0.01280701900386294,-0.014690465113062873,-0.018673371666149515,-0.023682609890595348,-0.027558509498537016
molecule 37,-0.03162698962202504,-0.03814302537210142,-0.042470109741906834,-0.044500470423547385,-0.04422862504062331
molecule 38,-0.03191199872608386,-0.031072186066719087,-0.03112497581645742,-0.033133511627091716,-0.03494477572602034
molecule 39,0.08656254851603924,0.10787308202086641,0.13532609042430663,0.18090967730754068,0.23112459610719222
molecule 40,-0.04274515888519986,-0.04164930919586713,-0.04073936745194924,-0.043413844209014875,-0.047237663215666144
molecule 41,-1.274297483149601,-1.3168904045171719,-1.5476281446849809,-1.7676445842949784,-1.8990802155762545
molecule 42,-0.2007057610696861,-0.21010443539956117,-0.20865075246520148,-0.20699132396395595,-0.2137207292570277
molecule 43,-0.06954201946386711,-0.059149455077687804,-0.04551271187205158,-0.03744702267695681,-0.03748538529665842
molecule 44,-0.14257367214535693,-0.14424108261114918,-0.1422398911228989,-0.1360682579002635,-0.13154516325639437
molecule 45,-0.0014975404102009382,0.0013650887996838339,0.005920434435388922,0.011123616139127636,0.014737565951278475
molecule 46,-1.3956000539787703,-1.285167928488166,-1.2124604088984747,-1.2143779821932414,-1.2344344613390186
molecule 47,-1.0268099707054101,-1.0629938028489692,-1.1190374195907145,-1.0629994790219677,-0.9273584329405411
molecule 48,-0.014548652299495013,-0.015042139543319337,-0.01209784886611424,-0.010583898995783724,-0.012557982938488187
molecule 49,-0.6967858678139872,-0.7590377852939402,-0.8031480894346755,-0.8837158892996646,-0.972229952760696
molecule 50,-0.19031879385488626,-0.19737324710975918,-0.20523861969635565,-0.2048270449526044,-0.19483563351919184
molecule 51,-0.37326432450117364,-0.3808208788303159,-0.39012824244823524,-0.41513260831084214,-0.4494178583757266
molecule 52,0.31528174385708163,0.3370878682762163,0.35527447265374595,0.35778281456630023,0.346761103788863
molecule 53,0.006579264020011087,-0.006471486480191186,-0.02013850323825415,-0.028413120227047645,-0.030247786917306306
molecule 54,-0.0214181962029709,-0.021160816296780134,-0.020613804674641294,-0.019596970626705724,-0.018654531862075996
molecule 55,-0.1026800382328492,-0.09987410112754601,-0.09874201625531408,-0.10391608082081542,-0.10917408027454495
molecule 56,-0.750596349307631,-0.7524547982203872,-0.779904620810588,-0.806123401838619,-0.8277802846968159
molecule 57,0.6392630127738826,0.6114452969437195,0.6191001829450974,0.6273776593001533,0.6170695711893018
molecule 58,-0.17631897191815063,-0.17936428915323638,-0.18202255005326823,-0.18312343635423986,-0.18740648766166476
molecule 59,-0.031205898433269035,-0.02473047730365577,-0.018026583438215473,-0.010307388951633176,-0.0011624652865492482
molecule 60,0.19189966737544048,0.20905587888676844,0.2214816699145913,0.2269021644249947,0.22846095945259678
molecule 61,0.021785104154210977,0.022433685732922166,0.024089337089998438,0.026654587690199433,0.028324615100373974
molecule 62,0.944632136585071,0.796674809482173,0.6396098380114732,0.5212864575776476,0.47088180116783995
molecule 63,0.7034701948677833,0.6217984894146051,0.5629750081848285,0.5319519413052481,0.5005981779412445
molecule 64,0.4296734574974267,0.44887584239354833,0.47355282018857897,0.45829884795285025,0.4374335859018187
molecule 65,-0.0065378251411273,-0.00498622839587881,-0.0034542431235432686,-0.004933072982323356,-0.007361989752189981
molecule 66,-0.05808204844021473,-0.05786320975505259,-0.054405936385617144,-0.04854103714124508,-0.04495007754629915
molecule 67,0.17527336443112518,0.17174966199102149,0.16423168540414224,0.1590744146216284,0.15664565089253438
molecule 68,-0.0026865953438395757,-0.031211585448280604,-0.060300213756043816,-0.08313480232497861,-0.09944480453600349
molecule 69,-0.03802091583103601,-0.03533645737912948,-0.03293806694001816,-0.033109587946825496,-0.03428141234855374
molecule 70,-0.297403023507917,-0.3116046759356279,-0.3496978086406987,-0.39211460422595795,-0.4081255527446989
molecule 71,-0.07367592188201681,-0.07515979143698653,-0.07273041408403122,-0.0707628266378407,-0.07093598390085006
molecule 72,-1.235895523096414,-1.1950122295714052,-1.2131663671705684,-1.3099021747436883,-1.3938980955753029
molecule 73,4.000726242270964,4.03796556558217,3.96053548733707,3.864105428975741,3.8786243276553045
molecule 74,-0.18323420762408207,-0.21550619302849666,-0.2527374635259014,-0.27485136521612985,-0.2867711130770081
molecule 75,-1.7925763275045643,-2.219240408592425,-1.8441358920952184,-1.8112717764979265,-3.0310482361886835
molecule 76,0.09383819930340137,0.09278089542960898,0.09033423809390816,0.08842576066990417,0.08896115205331222
molecule 77,-0.010749111812414468,-0.012517183793272992,-0.012198494662862606,-0.011202080984506271,-0.011823415609698544
molecule 78,-0.05090950903448257,-0.0457067072910234,-0.041584515482966974,-0.03985951475591478,-0.038454356810960585
molecule 79,-1.281660688786959,-1.1955196155367287,-1.1694826232101978,-1.1086912173875063,-0.966752638413688
molecule 80,-0.054882928309629465,-0.05261899514914268,-0.04899821795056517,-0.04310036465553265,-0.035488465720829
molecule 81,-0.2628014161005553,-0.26652016627702024,-0.2328019387184352,-0.21277036877820954,-0.21645387945297379
molecule 82,-0.4249571989787919,-0.41316460944644234,-0.3963415148816011,-0.3903290531277372,-0.39413054143164966
molecule 83,-0.052980974763701685,-0.05016061321310293,-0.0519373656442121,-0.05306886132700431,-0.049929654313749725
molecule 84,-0.02914904499830533,-0.027985611976671553,-0.023028929462333328,-0.015732912943998183,-0.011528923810194073
